name,description,muscle,equipment,difficulty,image
Bench Press,Lie on your back on a flat bench holding a barbell with your hands shoulder-width apart. Lower the bar to your chest then press it back up to the starting position,Chest (Pectoralis Major),Barbell Flat Bench,Beginner,https://hips.hearstapps.com/hmg-prod/images/barbell-bench-press-64073168bd677.jpg?resize=980:*
Dumbbell Squat,Stand with your feet hip-width apart holding a dumbbell in each hand at your sides. Lower your body as far as you can by pushing your hips back and bending your knees. Pause then slowly push yourself back to the starting position,Legs(Quads  Hamstrings Glutes),Dumbbells,Beginner,https://hips.hearstapps.com/hmg-prod/images/goblet-squat-1594986802.jpg?resize=980:*
